RA,Station ID,WMO ID or NWS/CMAN ID,Station Long Name,Station Description,Latitude (dec deg),Longitude (dec deg),Platform Type,"Station Deployment (mm/yyyy, yyyy, < 5 yr, > 5 yr)","Currently Operational? (Y, N, O, U)",Platform Funder/Sponsor,"RA Funding Involvement (Yf, Yp, N)",Platform Operator/Owner,Operator Sector,Platform Maintainer,Data Manager,"Variable Names + water column depth of measurement in meters [CF_name (# m, # m) or CF_name (mult) or CF_name (# depths)].",Additional notes,file,Dataset (ERDDAP) ID
AOOS,urn:ioos:station:gov.noaa.water:BETA2,BETA2,Kuskokwim River at Bethel,Bethel Brown Slough Bridge Water Level,60.793333,-161.745556,Fixed,2015-05-15 00:00:00,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,"NOAA Water Resources Regions, NWS (Owner, Publisher), NOAA Alaska-Pacific River Forecast Center (APRFC) (Affiliate)","height, water_surface_height_above_reference_datum","Data processed and accessed thru NOAA Water Resources Regions, National Weather Service; https://water.weather.gov/ahps2/hydrograph.php?gage=BETA2&wfo=pafc2",AOOS.xlsx,
AOOS,deering-alaska-water-level,DRTA2,"Deering, Alaska, Water Level",Deering Water Level,66.0746,-162.7215,Fixed,Original 09/06/2018; Reinstalled June 2021,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,NOAA Alaska-Pacific River Forecast Center (APRFC),sea_surface_height_above_sea_level,This station was originally installed in September 2018 but failed. It was not reinstalled until June of 2021 so was not on the 2019-2020 RA Asset Inventories. Data can also be found at the NOAA APRFC website: https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg3&gage=drta2,AOOS.xlsx,
AOOS ,dillingham-water-level-gauge-2,,Dillingham Water Level Gauge 2 (Radar),Water Level - NWLON Lite (Tier B),59.0375,-158.4651,Fixed,2022-03-28 00:00:00,Y,AOOS,Yf,AOOS,non-profit,"JOA Surveys, AOOS","JOA Surveys, AOOS",sea_surface_height_above_sea_level,"Install completed end of Nov 2021, but non-iced data not reporting until March 2022. There are two water level gauges using two different technologies currently deployed at Dillingham, AK — Gauge 1 and Guage 2. Having two gauges is typical practice for long term stations so there is redundancy in the observations in order to reduce the potential for data gaps.Despite this redundancy, Dillingham is an extremely challenging site since the dock goes dry, making data gaps still likely and expected, even with redundant technologies. Gauge 1 is a bubbler system secured to the seawall. It goes dry during spring tides, and also can freeze-up during winter. Gauge 2, is a downward looking radar that is co-located with Gauge 1, and also secured to the seawall. During winter, ice fast to the seawall can block the radar's view of the water, invalidating measurements until after the ice goes away. For both gauges, care should be taken to verify data collected during the months of October through April.",AOOS.xlsx,
AOOS,homer-ramp-8,,"Homer Ramp 8, Alaska, Water Level",Homer Ramp 8 Water Level (Tier C),59.6055,151.4221,Fixed,2020-07-23 00:00:00,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,"Stillwater Technologies, AOOS, Axiom Data Science",sea_surface_height_above_sea_level,"This Stillwater Technologies iGage began collecting data on July 24, 2020. It was installed on a wood post pier. The datum was previously established at this location in April, 2019 by JOA Surveys, LLC. JOA used their own calculator on data collected between September and November, 2019. On 8/4/2022, the previous iGage sensor was replaced with an iRadar. On 11/21/2022, the previous iRadar sensor was replaced with an iGage. To see all the Tier C water level data stations in the AWLW Portal, https://water-level-watch.portal.aoos.org/#search?type_group=sensor_stations&tag|tag=tier-c&page=1",AOOS.xlsx,
AOOS,kipnuk-alaska-water-level,KIPA2,"Kipnuk, Alaska, Water Level",Kipnuk Water Level (Tier C),59.939,-164.0371,Fixed,2022-06-20 00:00:00,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,"Stillwater Technologies, AOOS, Axiom Data Science",sea_surface_height_above_sea_level,"This Stillwater Technologies iGage was installed on on June 20 , 2022. The datum was previously established at this location and is published by NOAA.",AOOS.xlsx,
AOOS,kivalina-alaska-water-level,,"Kivalina, Alaska, Water Level",Kivalina Water Level (Tier C),67.7308,-164.5434,Fixed,2022-06-02 00:00:00,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,"Stillwater Technologies, AOOS, Axiom Data Science",sea_surface_height_above_sea_level,,AOOS.xlsx,
AOOS,kotzebue-alaska-water-level,KZTA2,"Kotzebue, Alaska, Water Level",Kotzebue on Stevens Way Bridge  Water Level (Tier C) ,66.895035,-162.56675,Fixed,9/5/2018. Re-installed June 2021; Redeployed June 2022.,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,NOAA Alaska-Pacific River Forecast Center (APRFC),sea_surface_height_above_sea_level,"This station has had multiple previous deployments between Nov 16, 2016 and Jun 28, 2021. On June 8, 2022, a field team traveled to Kotzebue to replace the sensor with a Stillwater Technologies iGageX and re-establish the site. Keith Horen computed tidal datums using the Alaska Today Datum Portal, which are available in the linked Station Definition Form.On Nov. 3, 2022, ortho and station datum heights in the metadata file were updated. Data from 6/02/2022 to 11/3/2022 were reloaded. Data are also found on NOAA APRFC website:  https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg2&gage=kzta2",AOOS.xlsx,
AOOS,kwigillingok-alaska-water-level,KWGA2,"Kwigillingok, Alaska, Water Level",Kwigillingok Bridge (Tier C); Installed on wood post pier by the UAF Arctic Coastal Geoscience Lab,59.8798,-163.1663,Fixed,2021-08-08 00:00:00,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,AK DNR and Stillwater Technologies,sea_surface_height_above_sea_level,"This Stillwater Technologies iGage was installed on the Kwigillingok Bridge and began collecting data on August 18, 2021. The datum was previously established at this location using data from July–August, 2019 by NOAA. On Nov. 3, 2022, ortho and station datum heights in the metadata file were updated. Data from 4/29/2022 to 11/3/2022 were reloaded.",AOOS.xlsx,
AOOS,naknek-ak,,"Naknek, AK",Naknek water level station (NWLON-lite Tier B),58.7321,-156.9833,Fixed,2019-07-15 00:00:00,Y,AOOS,Yf,JOA Surveys,Private,JOA Surveys,AOOS and JOA,sea_surface_height_above_sea_level,,AOOS.xlsx,
AOOS,nelson-lagoon-alaska-water-le,,"Nelson Lagoon, Alaska,, Water Level","Nelson Lagoon, Alaska, Water Level (Tier C)",56.0041,-161.1751,Fixed,2019-05-01 00:00:00,Y,"AOOS, ADNR, Native Village of Nelson",Yp,"AK DNR, UAF-Arctic Coastal Geosciences Lab",gov_state,Alaska Department of Natural Resources,AK DNR and Stillwater Technologies,sea_surface_height_above_sea_level,"This Stillwater Technologies iGage began collecting data on May 10, 2019. It was installed on a wood post pier by the UAF Arctic Coastal Geoscience Lab, but no benchmarks were used to survey the site. Richard Buzard computed tidal datums relative to station datum, which are available in the linked Station Definition Form.",AOOS.xlsx,
AOOS,urn:ioos:station:gov.noaa.water:TNUA2,TNUA2,Tununak at Tununak,Airstrip Road Bridge Water Level ,60.5782,-165.2692,Fixed,2015-05-05 00:00:00,O,"AOOS, AKDNR",Yp,AK DNR,gov_state,Alaska Department of Natural Resources,"NOAA Water Resources Regions, NWS (Owner, Publisher), NOAA Alaska-Pacific River Forecast Center (APRFC) (Affiliate)","height, water_surface_height_above_reference_datum","This system (JUDD Sensor) Stopped reporting in fall 2021, and has not been fixed. Data started to look noisy in mid-summer, but sensor appeared to bounce back intermittantly until October 2021 when it stopped report. Data reported Height data only goes to April 2018. Water Surface above Datum data runs thru October 2021. Not sure why and are looking into that as well. Data processed and accessed thru NOAA Water Resources Regions, National Weather Service, a federall service, so it has to go through them. Normally this is a federal dataset not reported on this sheet, but because we help fund the hardware and installation, we include it.",AOOS.xlsx,
AOOS,whittier-ak,,"Passage Canal 1 N Whittier, AK, Tidal Gage",Whittier Harbor piling (Tier B),60.7774,-148.6924,Fixed,Spring 2022,Y,"AOOS, AKDNR",Yp,AK DNR,gov_state,"AK DNR, JOA Surveys",NOAA Alaska-Pacific River Forecast Center (APRFC),sea_surface_height_above_sea_level,"A Judd Communications Ultrasonic Depth Sensor was installed by JOA Surveys for AOOS and AKDNR on a wooden piling in the harbor of Whittier, AK. It was installed in the spring of 2022 but data were not available until summer of 2022 (APRFC). Data is published via the NOAA NWS Advanced Hydrologic Prediction Service (AHPS) through the efforts of the Alaska-Pacific River Forecast Center, and earlier data than provided on the AOOS portal can be found on the APRFC site. https://water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=wtga2",AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1071,,"Esther Island, SNOTEL STATION",SNOTEL station ,60.805,-148.085,Fixed,2004-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1073,,"Mt Eyak, SNOTEL STATION",SNOTEL station ,60.555,-145.745,Fixed,2004-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness, snow_water_equivalent",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1074,,"Nuchek, SNOTEL STATION (on McNeil River)",SNOTEL station ,60.335,-146.665,Fixed,2004-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1075,,"Port San Juan, SNOTEL STATION",SNOTEL station ,60.055,-148.065,Fixed,2004-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1076,,"Tatitlek, SNOTEL STATION",SNOTEL station ,60.875,-146.675,Fixed,2004-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1087,,"Seal Island, SNOTEL STATION",SNOTEL station ,60.435,-147.395,Fixed,2005-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature,  air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, relative_humidity",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1088,,"Strawberry Reef, SNOTEL STATION",SNOTEL station ,60.235,-144.865,Fixed,2005-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:gov.usda.nrcs.wcc.snotel:1095,,"Sugarloaf Mtn, SNOTEL STATION",SNOTEL station ,61.085,-146.295,Fixed,2006-10-01 00:00:00,Y,"AOOS, Oil Spill Recovery Institute (OSRI)",Yp,PWSSC,nonprofit,PWSSC-Prince William Sound Science Center,National Water and Climate Center (NRCS),"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness",Cross-checked and corrected to what we are reporting,AOOS.xlsx,
AOOS,urn:ioos:station:org.inletkeeper:anchor-river,,"Cook Inletkeeper, Anchor River","Anchor River at the Old Sterling Highway Bridge in Anchor Point, Cook Inlet",59.7724134,-151.83665552,Fixed,2013-09-07 00:00:00,Y,"Cook Inletkeeper, Kenai Peninsula Fish Habitat Partnership, Western Native Trout Initiative;  Installation support: Kenai Chapter of Trout Unlimited, BeadedStream LLC",N,Cook Inletkeeper,nonprofit,Cook Inletkeeper,Cook Inletkeeper,"air_temperature, sea_water_temperature, panel_temperature, battery_voltage","Since 2002, Cook Inletkeeper has been collecting continuous water temperature data below the confluence of the North and South Forks.",AOOS.xlsx,
AOOS,urn:ioos:station:org.inletkeeper:deshka-river,,"Cook Inletkeeper, Deshka River (Kroto Creek)","Deshka River (alias: Kroto Creek), Cook Inlet",61.76751,-150.33992,Fixed,2013-09-09 00:00:00,Y,"Cook Inletkeeper: Installation support from BeadedStream LLC, AK Fish and Game",N,Cook Inletkeeper,nonprofit,Cook Inletkeeper,Cook Inletkeeper,"air_temperature, sea_water_temperature, panel_temperature, battery_voltage","Since 2008, Cook Inletkeeper has been collecting water temperature data on the lower Deshka River below the ADF&G weir.",AOOS.xlsx,
AOOS,urn:ioos:station:org.inletkeeper:russian-river,,"Cook Inletkeeper, Russian River","Russian River, 3 miles upstream on the Russian River Falls Trail below the lower lake.",60.45304,-149.98679,Fixed,2016-10-14 00:00:00,Y,"Cook Inletkeeper, Kenai Peninsula Fish Habitat Partnership",N,Cook Inletkeeper,nonprofit,Cook Inletkeeper,Cook Inletkeeper,"air_temperature, sea_water_temperature, panel_temperature, battery_voltage","Since 2002, Cook Inletkeeper has been collecting continuous water temperature data in non-glacial streams across the Cook Inlet watershed, but not on Russian River.",AOOS.xlsx,
AOOS,cape_st_elias,,Cape St. Elias,Weather station on Copper Delta area,59.7983,-144.5999,Fixed,2014-12-03 00:00:00,Y,Prince William Sound Regional Citizen's Advisory Council (PWSRCAC),N,PWSRCAC,nonprofit,"PWSRCAC, MicroSspecialties (private industry)","Not sure, but web site  links to Microspecialties (http://denali.micro-specialties.com/CapeStElias/). ","air_pressure, air_temperature, relataive_humdity, solar_irradiance, wind_speed_of_gust, wind_speed, wind_from_direction, battery_voltage","Data start on the portal is December 31, 2014",AOOS.xlsx,
AOOS,valdez_marine_terminal_weathe,,Valdez Marine Terminal Weather Buoy,Weather/waves/current buoy in the Port of Valdez area,61.091,-146.3766,Moored Buoy,2019-09-21 00:00:00,Y,Prince William Sound Regional Citizen's Advisory Council (PWSRCAC),N,PWSRCAC,nonprofit,"PWSRCAC, PWSSC",PWSSC,"air_pressure, sea_water_velocity_to_direction, sea_water_speed, eastward_sea_water_velocity, northward_sea_water_velocity, upward_sea_water_velocity, relative_humidity, solar_irradiance, sea_water_pressure, air_temperature, sea_water_temperature, sea_surface_wave_directional_spread, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_from_direction, sea_surface_wave_maximum_height, sea_surface_wave_significant_height, wind_speed_of_gust, wind_speed, wind_from_direction, ","Installed in 2019, but AOOS was not hosting data until 2020 after the AI was submitted with the semi-annual report. AOOS Portal has data from Sep 21, 2019",AOOS.xlsx,
AOOS,valdez_duck_flats_weather_buo,,Valdez Duck Flats Weather Buoy,Weather/waves/current buoy in the Port of Valdez area,61.1225,-146.2967,Moored Buoy,2019-09-21 00:00:00,Y,Prince William Sound Regional Citizen's Advisory Council (PWSRCAC),N,PWSRCAC,Non-Profit,"PWSRCAC, PWSSC",PWSSC,"air_pressure, sea_water_velocity_to_direction, sea_water_speed, eastward_sea_water_velocity, northward_sea_water_velocity, upward_sea_water_velocity, relative_humidity, solar_irradiance, sea_water_pressure, air_temperature, sea_water_temperature, sea_surface_wave_directional_spread, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_from_direction, sea_surface_wave_maximum_height, sea_surface_wave_significant_height, wind_speed_of_gust, wind_speed, wind_from_direction, ","Installed in 2019, but AOOS was not hosting data until 2020 after the AI was submitted with the semi-annual report. AOOS Portal has data from Sep 21, 2019",AOOS.xlsx,
AOOS ,camel-bay-inner-wave-buoy,,Camel Bay Inner Wave Buoy,"SOFAR Spotter Wave Buoy - Inner Camel Bay, Adak Island",51.7051,-176.5985,Moored Buoy,2022-08-15 00:00:00,Y,"NSF, UNCW-CMS",N,"University of North Carolina (UNC), CMS",Academic,"University of North Carolina, Willimington (UNCW)",SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum, wind_speed, wind_from_direction, sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project buoy not funded by AOOS",AOOS.xlsx,
AOOS,camel-bay-outer-wave-buoy,,Camel Bay Outer Wave Buoy,"SOFAR Spotter Wave Buoy - Outer Camel Bay, Adak Island",51.6835,-176.5879,Moored Buoy,2022-08-15 00:00:00,O,"NSF, UNCW-CMS",N,"University of North Carolina (UNC), CMS",Academic,"University of North Carolina, Willimington (UNCW)",SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum, wind_speed, wind_from_direction, sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project Buoy not funded by AOOS",AOOS.xlsx,
AOOS ,camel-bay-adak-island-ak,,"Camel Bay Weather Station, Adak Island, AK","MET Station in Camel Bay, Aleutian Islands, Adak Island",51.708,176.6062,Fixed,2022-08-16 00:00:00,Y,"NSF, UNCW-CMS",N,"University of North Carolina (UNC), CMS",Academic,"University of North Carolina, Willimington (UNCW)",UNCW,"air_pressure, dew_point_temperature, relative_humidity, air_temperature, wind_speed_of_gust, wind_speed, wind_from_direction","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project Buoy not funded by AOOS",AOOS.xlsx,
AOOS ,quail-bay-inner-wave-buoy,,Quail Bay Inner Wave Buoy,SOFAR Spotter Wave Buoy - Inner Quail Bay,51.7564,-176.3308,Moored Buoy,2022-08-16 00:00:00,Y,"NSF, UNCW-CMS",N,"University of North Carolina (UNC), CMS",Academic,"University of North Carolina, Willimington (UNCW)",SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum, wind_speed, wind_from_direction, sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project buoy not funded by AOOS",AOOS.xlsx,
AOOS,quail-bay-outer-wave-buoy,,Quail Bay Outer Wave Buoy,SOFAR Spotter Wave Buoy - Outer Quail Bay,51.7383,-176.3032,Moored Buoy,2022-08-16 00:00:00,Y,"NSF, UNCW-CMS",N,"University of North Carolina (UNC), CMS",Academic,"University of North Carolina, Willimington (UNCW)",SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum, wind_speed, wind_from_direction, sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project Buoy not funded by AOOS",AOOS.xlsx,
AOOS,skan-bay-inner-wave-buoy,,Skan Bay Inner Wave Buoy,SOFAR Spotter Wave Buoy in Skan Bay (inner bay),53.6151,-167.0489,Moored Buoy,2021-08-27 00:00:00,Y,"NSF, UNCW-CMS",N,UNCW-Coastal Ocean Research and Monitoring Program (CORMP),Academic,"University of North Carolina, Willimington (UNCW)",SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum,  sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project Buoy not funded by AOOS",AOOS.xlsx,
AOOS,skan-bay-outer-wave-buoy,,Skan Bay Outer Wave Buoy,SOFAR Spotter Wave Buoy in Skan Bay (outer bay),53.6315,-167.0598,Moored Buoy,2021-08-27 00:00:00,Y,"NSF, UNCW-CMS",N,UNCW-Coastal Ocean Research and Monitoring Program (CORMP),Academic,"University of North Carolina, Willimington (UNCW)",SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum, wind_speed, wind_from_direction, sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project Buoy not funded by AOOS",AOOS.xlsx,
AOOS,skan-bay-unalaska-island-ak,,"Skan Bay Weather Station, Unalaska Island, AK","MET Station in Skan Bay, Unalaska, AK",53.6185,-167.0628,Fixed,2022-08-16 00:00:00,Y,"NSF, UNCW-CMS",N,UNCW-Coastal Ocean Research and Monitoring Program (CORMP),Academic,"University of North Carolina, Willimington (UNCW)",UNCW,"air_pressure, dew_point_temperature, relative_humidity, air_temperature, wind_speed_of_gust, wind_speed, wind_from_direction","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project Buoy not funded by AOOS",AOOS.xlsx,
AOOS,shagak-bay-inner-wave-buoy,,Shagak Bay Inner Wave Buoy,SOFAR Spotter Wave Buoy in Shagak Bay,51.8744,-176.7443,Moored Buoy,2022-08-12 00:00:00,Y,"NSF, UNCW-CMS",N,UNCW-Coastal Ocean Research and Monitoring Program (CORMP),Academic,"University of North Carolina, Willimington (UNCW)",SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum, wind_speed, wind_from_direction, sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum","NSF Bering Sea Storms Project, Sea Level Research Lab, UNCW-CMS, Project Buoy not funded by AOOS",AOOS.xlsx,
AOOS,st-paul-island-wave-buoy,,St. Paul Island Wave Buoy,SOFAR Spotter Wave Buoy in Skan Bay (outer bay),57.1208,-170.3825,Moored Buoy,2022-09-20 00:00:00,O,"University of Alaksa, Fairbanks Geophysical Institute",N,,Academic,UAF GI,SOFAR OCEAN,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_period_at_variance_spectral_density_maximum, wind_speed, wind_from_direction, sea_surface_wave_mean_period, sea_surface_wave_directional_spread, sea_surface_wave_directional_spread_at_variance_spectral_density_maximum, sea_surface_wave_from_direction_at_variance_spectral_density_maximum",Project buoy deployments for which AOOS is sharing data on the Data Portal but is not funding.,AOOS.xlsx,
AOOS,noaa_nos_co_ops_9454050,CRVA2,"Cordova, AK",NOAA NWLON station in Cordova equipped with AOOS Funded CTD sensor,60.5583,-145.755,Fixed,Tide Gage: 08/31/78; NWLON CTD installed 11/03/2013,Y,"NOAA CO-OPS, AOOS",Yp,NOAA _NWLON,Federal,PWSSC-Prince William Sound Science Center,NOAA CO-OPS,"air_pressure, sea_water_electrical_conductivity, sea_water_practical_salinity, air_temperature, sea_water_temperature, sea_surface_height_amplitude_due_to_geocentric_ocean_tide, sea_surface_height_above_sea_level, wind_speed_of_gust, wind_speed, wind_from_direction",I have added this station so IOOS knows that AOOS funded and is supporting all the CTD obsevations at this site in cooperation with NOAA CO-OPS. CTD was installed in 2013.,AOOS.xlsx,
AOOS,noaa_nos_co_ops_9454240,VDZA2,"Valdez, AK",NOAA NWLON station in Valdez Harbor equipped with AOOS Funded CTD sensor,61.1242,-146.3631,Fixed,Tide gage: 04/16/73;  NWLON CTD installed 10/13/2022,Y,"NOAA CO-OPS, AOOS",Yp,NOAA _NWLON,Federal,PWSRCAC - Prince William Sound Regional Citizens Advisory  Council,NOAA CO-OPS,"air_pressure, sea_water_electrical_conductivity, sea_water_practical_salinity, air_temperature, sea_water_temperature, sea_surface_height_amplitude_due_to_geocentric_ocean_tide, sea_surface_height_above_sea_level, wind_speed_of_gust, wind_speed, wind_from_direction",I have added this station so IOOS knows that AOOS funded and is supporting all the CTD obsevations at this site in cooperation with NOAA CO-OPS. CTD installed in 2022.,AOOS.xlsx,
CARICOOS,PR1,42085,Ponce Buoy,,17.8687,-66.532,Moored buoy,06/2009 - present,Y,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,CARICOOS/University of Maine,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 16) m, sea_water_to_direction (2.5 -16) m, eastward_sea_water_velocity (2.5 - 16) m, northward_sea_water_velocity (2.5 - 16) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)",,CARICOOS.xlsx,
CARICOOS,PR2,41053,San Juan Buoy,,17.4743,-66.0994,Moored buoy,07/2010 - present,Y,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,CARICOOS/University of Maine,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 29) m, sea_water_to_direction (2.5 -29) m, eastward_sea_water_velocity (2.5 - 29) m, northward_sea_water_velocity (2.5 - 29) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)",,CARICOOS.xlsx,
