RA,Latitude,Longitude,station_long_name,Platform,Operational,station_deployment,RA_Funded,Water_temp,Salinity,Wtr_press,Dew_pt,Rel_hum,Air_temp,Winds,Air_press,Precip,Solar_radn,Visibility,Water_level,Waves,Currents,Turbidity,DO,pCO2_water,pCO2_air,TCO2,pH,OmgArag_st,Chl,Nitrate,CDOM,Alkalinity,Acoustics,Raw_Vars,file
GCOOS,30.0902,-88.2116,"42031 - West End CP, AL",,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"mass_concentration_of_oxygen_in_sea_water, sea_water_temperature, sea_water_practical_salinity",GCOOS.xlsx
GCOOS,29.25333,-90.66333,"101: LUMCON Marine Center, LA",fixed,Y,< 5 yr,N,X,X,,,X,X,X,X,,,,,,,,X,,,,,,X,,,,,"air_pressure, air_temperature, dissolved_oxygen, relative_humidity, salinity, sea_water_temperature, winds, chlorophyll",GCOOS.xlsx
GCOOS,29.187,-90.6093,"102: Terrebonne Bay, LA",tower,O,< 5 yr,N,X,X,,,X,X,X,,,,,,,,,,,,,,,X,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,sea_water_practical_salinity ,air_temperature ,relative_humidity ,  chlorophyll",GCOOS.xlsx
GCOOS,30.18894,-90.16831,"103: Western Lake Ponchartrain, LA",tower,O,> 5 yr,N,X,X,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level ,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,29.5526,-90.807,104: MissRiver-Audobon,fixed,O,> 5 yr,N,,X,,,,,,,,,,,,,,,,,,,,,,,,,sea_water_practical_salinity,GCOOS.xlsx
GCOOS,29.18737,-90.66542,"105: Tambour Bay, LA",tower,O,> 5 yr,N,,,,,X,X,X,,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,28.662,-89.551,WDEL1 - Shell West Delta 143,fixed,O/U,< 5 yr,N,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,"air_pressure,air_temperature,dew_temeperature,winds",GCOOS.xlsx
GCOOS,26.8015,-97.4706,"003: Rincon del San Jose (87778121): Rincon del San Jose; Potrero Lopeno SW, TX ",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level ,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,27.6346,-97.237,"005: Packery Channel (87757921): Packery Channel, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,27.8217,-97.204,"006: Ingleside (87752831): Port Ingleside, TX ",tide_station,U,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,27.8398,-97.0727,"009: Port Aransas (87752371): Port Aransas, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,27.4847,-97.3181,"013: S. Bird Island (87761391): South Bird Island, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level ,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,28.4073,-96.7122,"031: Seadrift (87730371): Seadrift, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,27.8888,-97.5696,042: Nueces Delta 2: Nueces Delta 2,fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ",GCOOS.xlsx
GCOOS,27.883783,-97.5332,043: Nueces Delta 3: Nueces Delta 3,fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ",GCOOS.xlsx
GCOOS,28.446,-96.3961,"057: Port O'Connor (87737011): Matagorda Bay; Port O'Connor, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,27.297,-97.4049,"068: Baffin Bay (87766041): Baffin Bay; Point of Rocks, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level ,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,27.839194,-97.443972,"072: SALT01 (Nueces Bay, Texas): SALT01 (Nueces Bay, Texas)",fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,27.85155,-97.48203,"074: SALT03 (Nueces Bay, Texas): SALT03 (Nueces Bay, Texas)",fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,27.89183,-97.61045,"076: SALT05 (Nueces River, Texas): SALT05 (Nueces River, Texas)",fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ",GCOOS.xlsx
GCOOS,27.87078,-97.5177,079: SALT08: SALT08,fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ",GCOOS.xlsx
GCOOS,28.25976,-96.77369,127: Bahia Grande Water Quality Station 1: Bahia Grande Water Quality Station 1,fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,X,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,28.13235,-97.03445,146: MANERR Station 2 (Copano East): MANERR Station 2 (Copano East),fixed,Y,< 5 yr,Yp,X,X,,,X,X,X,X,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,sea_water_practical_salinity ,air_pressure ,air_temperature ,mass_concentration_of_oxygen_in_sea_water ,relative_humidity ",GCOOS.xlsx
GCOOS,28.08405,-97.20094,147: MANERR Station 3 (Copano West): MANERR Station 3 (Copano West),fixed,U,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,27.97985,-97.02879,148: MANERR Station 4 (Aransas Bay): MANERR Station 4 (Aransas Bay),fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,27.83826,-97.05029,149: MANERR Station 5 (Port Aransas): MANERR Station 5 (Port Aransas),fixed,U,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,27.29702,-97.40491,170: National Park Service - Baffin Bay: National Park Service - Baffin Bay,fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,27.4847,-97.3181,171: National Park Service - Bird Island: National Park Service - Bird Island,fixed,Y,< 5 yr,Yp,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",GCOOS.xlsx
GCOOS,29.515,-94.5133,"518: Rollover Pass (87709711): Rollover Pass, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,29.8672,-93.931,"524: Port Arthur (87704751): Port Arthur, TX",tide_station,Y,< 5 yr,Yp,X,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",GCOOS.xlsx
GCOOS,28.193,-82.789,"ANC: Anclote Gulf Park, FL",fixed,U,< 5 yr,N,X,X,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_practical_salinity,air_pressure,air_temperature",GCOOS.xlsx
GCOOS,27.54,-82.74,"ANM: Anna Maria, FL",fixed,U,< 5 yr,N,,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature",GCOOS.xlsx
GCOOS,28.433,-82.667,"APK: Aripeka, FL",fixed,Y,< 5 yr,N,,,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,26.404,-81.881,"BCP: Big Carlos Pass, FL",fixed,U,< 5 yr,N,,,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,27.169,-82.926,C10: Navy-2,moored_buoy,O/U,< 5 yr,N,X,X,,,X,X,X,X,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,27.498,-83.722,C12: West Florida Central Buoy,moored_buoy,Y,< 5 yr,N,,X,,,X,X,X,X,,,,,,X,,,,,,,,,,,,,"wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,26.063,-83.073,C13: West Florida South Buoy,moored_buoy,Y,< 5 yr,N,X,X,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"air_pressure,air_temperature,relative_humidity, wind_speed, wind_to_direction,wind_speed_of_gust, sea_water_temperature, sea_water_practical_salinity",GCOOS.xlsx
GCOOS,27.765,-82.649,"CPK: Campbell Park, FL",fixed,U,< 5 yr,N,,X,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,27.601,-82.751,"EGK: Egmont Key, FL",fixed,U,< 5 yr,N,X,X,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,28.153,-82.801,"FHP: Fred Howard Park, FL",fixed,Y,< 5 yr,N,X,X,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,25.084,-81.096,"NFB: Northwest Florida Bay, FL",fixed,U,< 5 yr,N,X,X,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,30.06,-84.291,"SHP: Shell Point, FL",fixed,Y,< 5 yr,N,,,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,28.156,-82.758,"TAS: Tarpon Springs, FL",fixed,U,< 5 yr,N,,,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,29.4412,-92.0613,"CSI03: Marsh Island, LA",tower,Y,< 5 yr,Yp,X,,,,X,X,X,X,,,,X,X,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature (10.0),waves,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,29.0533,-90.5333,"CSI05: Isle Dernieres, LA",tower,U,> 5 yr,Yp,X,,,,X,X,X,X,,,,X,X,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature (10.0),waves,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,28.8667,-90.4833,"CSI06: South Timbalier Block 52, LA",tower,Y,< 5 yr,Yp,X,,,,X,X,X,X,,,,X,X,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature (100.0),waves,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,29.1015,-89.9782,CSI09: Grand Isle Blocks,tower,U,< 5 yr,Yp,X,,,,X,X,X,X,,,,X,X,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature ,waves,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ,relative_humidity",GCOOS.xlsx
GCOOS,28.9192,-90.7744,"CSI10A: Fieldwood Energy, LLC site SS91",,Y,< 5 yr,,,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_speed, direction_of_sea_water_velocity ",GCOOS.xlsx
GCOOS,28.8332,-90.832,CSI15: Ship Shoal blocks 114A,tower,U,> 5 yr,Yp,X,,,,X,X,X,X,,,,X,X,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature (10.0),waves,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,29.4012,-89.0355,CSI16: Chevron MP41M platform,tower,U,> 5 yr,Yp,X,X,,,X,X,X,X,,,,X,X,,,,,,,,,,,,,,"sea_surface_height_above_sea_level,sea_water_temperature (100.0),waves,wind_speed, wind_to_direction,wind_speed_of_gust,air_pressure,air_temperature,relative_humidity, sea_water_practical_salinity",GCOOS.xlsx
GCOOS,28.9818,-94.9186,TABS B: GA-252,moored_buoy,Y,< 5 yr,N,X,X,,,X,X,X,X,,,,,,X,,,,,,,,,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity ,air_pressure,air_temperature,relative_humidity, sea_water_practical_salinity",GCOOS.xlsx
GCOOS,26.1914,-97.0507,TABS J: PS-1126 ,moored_buoy,Y,< 5 yr,N,X,,,,X,X,X,X,,,,,,X,,,,,,,,,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity ,air_pressure ,air_temperature ,relative_humidity ",GCOOS.xlsx
GCOOS,26.2168,-96.4998,TABS K: PI-745 ,moored_buoy,Y,< 5 yr,N,X,X,,,X,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity ,air_pressure,air_temperature,relative_humidity, sea_water_practical_salinity, waves",GCOOS.xlsx
GCOOS,27.8903,-94.0367,TABS N: HI-A595,moored_buoy,O,< 5 yr,N,X,X,,,X,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity ,air_pressure,air_temperature,relative_humidity, sea_water_practical_salinity, waves",GCOOS.xlsx
GCOOS,27.8966,-93.5973,TABS V: HI-A389,moored_buoy,Y,< 5 yr,N,X,X,,,X,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity ,air_pressure,air_temperature,relative_humidity, sea_water_practical_salinity, waves",GCOOS.xlsx
GCOOS,27.9396,-96.8429,TABS D: TABS D,moored_buoy,Y,< 5 yr,N,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature ,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity",GCOOS.xlsx
GCOOS,28.3507,-96.0058,TABS W: TABS W,moored_buoy,Y,< 5 yr,N,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature ,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity , sea_water_practical_salinity",GCOOS.xlsx
GCOOS,28.8425,-94.2433,TABS F: TABS F,moored_buoy,Y,< 5 yr,N,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature ,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity , sea_water_practical_salinity",GCOOS.xlsx
GCOOS,29.635,-93.6417,TABS R: TABS R,moored_buoy,Y,< 5 yr,N,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature ,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity , sea_water_practical_salinity",GCOOS.xlsx
GCOOS,30.043,-88.649,USM3M02: 42067 - USM3M02,moored_buoy,U,< 5 yr,N,X,X,,,X,X,X,X,,,,,X,X,,,,,,,,,,,,,"sea_water_temperature,waves ,wind_speed, wind_to_direction,wind_speed_of_gust,wind_speed, wind_to_direction,wind_speed_of_gust,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity (4.31),sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,sea_water_practical_salinity,air_pressure,air_temperature,relative_humidity",GCOOS.xlsx
GCOOS,27.55,-92.49,42361 - Auger - Garden Banks 426,fixed,N,nan,N,,,,,,X,X,X,,,,,,X,,,,,,,,,,,,,"air_pressure,air_temperature,currents,dew_temeperature,winds",GCOOS.xlsx
GCOOS,28.16,-89.22,42363 - Mars - Mississippi Canyon 807,fixed,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,29.06,-88.09,42364 - Ram-Powell - Viosca Knoll 936,fixed,N,Unknown,N,,,,,,X,X,X,,,,,,X,,,,,,,,,,,,,"air_pressure,air_temperature,currents,dew_temeperature,winds",GCOOS.xlsx
GCOOS,27.207,-90.283,42369 - Mad Dog Spar - Green Canyon 782,fixed,Y,Unknown,N,X,,,,,X,X,,,,,,X,X,,,,,,,,,,,,,"currents, sea_water_temperature, winds, waves, air_temperature",GCOOS.xlsx
GCOOS,27.322,-90.536,42370 - Holstein - Green Canyon 645,fixed,Y,Unknown,N,X,,,,,X,X,X,,,,,,X,,,,,,,,,,,,,"air_temperature,air_pressure,dew_temeperature,sea_water_temperature,currents,winds",GCOOS.xlsx
GCOOS,27.78,-90.518,42372 - Genesis SPAR - Green Canyon 205A,fixed,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.354,-94.625,42373 - Boomvang - East Breaks 643,fixed,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,28.866,-88.056,Horn Mountain - Mississippi Canyon 126 and 127,fixed,Y,Unknown,N,X,,,,,,X,,,,,,X,X,,,,,,,,,,,,,"sea_water_temperature,currents,waves,winds",GCOOS.xlsx
GCOOS,27.293,-90.968,42377 - Constitution - Green Canyon 680,fixed,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.362,-90.181,Marco Polo - Green Canyon 608,fixed,Y,Unknown,N,,,,,,,,,,,,,,X,,,,,,,,,,,,,currents,GCOOS.xlsx
GCOOS,27.304,-93.538,42382 - Gunnison - Garden Banks 668,fixed,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.37,-89.924,42383 - Neptune - Green Canyon 613,fixed,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.326,-90.714,42386 - Tahiti - Green Canyon 641,fixed,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.73,-91.109,42388 - Helix Producer 1 - Green Canyon 237,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,26.129,-94.898,Perdido Host - Alaminos Canyon 857,fixed,Y,Unknown,N,X,,,,,X,X,X,,,,,,X,,,,,,,,,,,,,"air_pressure, air_temperature,currents,dew_temperature,sea_water_temperature,winds",GCOOS.xlsx
GCOOS,28.157,-89.24,42394 - Olympus TLP - Mississippi Canyon 807,offshore_platform,Y,Unknown,N,X,,,,,X,X,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currentsair_temperature,dew_temperature,winds",GCOOS.xlsx
GCOOS,26.404,-90.792,42395 - Shell Alcyone Buoy - Walker Ridge 552,fixed,Y,Unknown,N,,,,,,X,X,X,,,,,,X,,,,,,,,,,,,,"air_pressure, air_temperature, dew_temperature, winds, currents",GCOOS.xlsx
GCOOS,26.235,-91.261,42396 - Jack and St Malo FPU - Walker Ridge Block 758,fixed,N,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,26.132,-92.04,42398 - Lucius SPAR - Keathley Canyon 875,fixed,Y,Unknown,N,,,,,,,,,,,,,,X,,,,,,,,,,,,,currents,GCOOS.xlsx
GCOOS,26.572,-90.784,42851 - Noble Globetrotter I - Walker Ridge 376,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,28.501,-89.769,42852 - Who Dat FPS - Mississippi Canyon 547,offshore_platform,N,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,28.444,-88.277,42853 - West Capricorn - Mississippi Canyon 562,offshore_platform,N,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.691,-91.114,42857 - Noble Don Taylor - GC 281,offshore_platform,N,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,26.455,-90.777,42864 - Thalassa - Walker Ridge 464,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,28.935,-88.112,Station 42865 - BlackHornet - VK915,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.647,-92.313,42873 - Pontus - GB341,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.958,-88.822,42874 - Deepwater Asgard - Atwater Valley 23,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,26.297,-91.094,Station 42876 - Deepwater Conqueror - Walker Ridge 758,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,28.246,-88.928,42878 - Noble Paul Romano - Mississippi Canyon 725,offshore_platform,N,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.476,-90.559,42879 - Ocean BlackRhino - GC512,offshore_platform,Y,Unknown,N,,,,,,,,,,,,,,X,,,,,,,,,,,,,currents,GCOOS.xlsx
GCOOS,27.132,-90.338,42880 - West Auriga - Green Canyon 824,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,26.078,-92.06,42884 - Ocean Blackhawk - KC 919,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,28.191,-88.496,42887 - Thunder Horse - Mississippi Canyon 778,offshore_platform,Y,Unknown,N,X,,,,,X,X,,,,,,X,X,,,,,,,,,,,,,"air_temperature,dew_temeperature,sea_water_temperature,currents,winds,waves",GCOOS.xlsx
GCOOS,28.193,-88.61,42891 - West Vela - Mississippi Canyon 775,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.707,-90.786,42896 - Sevan Louisiana - Green Canyon 243,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,28.195,-88.605,Station 42901 - Q5000 - Green Canyon 137,offshore_platform,Y,Unknown,N,X,,,,,,,,,,,,,X,,,,,,,,,,,,,"sea_water_temperature,currents",GCOOS.xlsx
GCOOS,27.56,-90.749,42902 - Clyde Boudreaux - Alaminos Canyon 857,offshore_platform,Y,Unknown,N,,,,,,X,X,,,,,,,X,,,,,,,,,,,,,"air_temperature,dew_temeperature,currents,winds",GCOOS.xlsx
GCOOS,28.085,-87.986,42904 - Independence Hub - Mississippi Canyon 920,offshore_platform,N,Unknown,N,,,,,,,,,,,,,,X,,,,,,,,,,,,,currents,GCOOS.xlsx
