RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,CARICOOS Contact (Name and Email),RA/Federal Affiliation,Dataset ID,Unnamed: 15,Unnamed: 18
CARICOOS,PUNTAS,PTRP4,"Rincón, PR",,18.3667,-67.2514,Fixed,11/2012 - present,Operational,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,NDBC / CARICOOS,"wind_speed (15 m), wind_speed_of_gust (15 m), wind_from_direction (15 m), air_temperature (15 m), air_pressure (15 m), relative_humidity (15 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,MAGUEYES,F2397,"Isla Magueyes, PR",,17.9644,-67.0442,Fixed,10/2018 - present,Operational,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (8 m), wind_speed_of_gust (8 m), wind_from_direction (8 m), air_temperature (8 m), air_pressure (8 m), relative_humidity (8 m)",Replace IMGP4 station,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,PYC,E7791,Ponce Yatch Club - Ponce - Puerto Rico,,17.9644,-66.6177,Fixed,12/2018 - present,Operational,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (15 m), wind_speed_of_gust (15 m), wind_from_direction (15 m), air_temperature (15 m), air_pressure (15 m), relative_humidity (15 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,FCR,E7866,Faro de Cabo Rojo - Cabo Rojo - Puerto Rico,,17.9335,-67.192,Fixed,12/2018 - present,Operational,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (3 m), wind_speed_of_gust (3 m), wind_from_direction (3 m), air_temperature (3 m), air_pressure (3 m), relative_humidity (3 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,TPR,E9889,Tres Palmas Reserve - Rincon - Puerto Rico,,18.347,-67.2613,Fixed,12/2018 - present,Operational,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (3 m), wind_speed_of_gust (3 m), wind_from_direction (3 m), air_temperature (3 m), air_pressure (3 m), relative_humidity (3 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XAGU,TJGU,"Jetty Aguadilla, PR",,18.43295,-67.15663,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XBRO,TIRO,"Two Brothers, USVI",,18.34291,-64.8173,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XBUK,TIUK,"Buck Island, USVI",,18.27823,-64.8926,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XCDP,TJDP,"Cabo Rojo, PR (CWOP EW7866)",,18.09995,-67.18887,Fixed,JUR,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XCRX,TIRX,"Sandy Point NWR, USVI",,17.67771,-64.89989,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XCUL,TJUL,Culebrita Island,,18.3137,-65.22742,Fixed,2016 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XGUR,TJUR,"Gurabo, PR",,18.25623,-65.99167,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XJUA,TJUA,"San Juan, PR",,18.45512,-66.12846,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XMRS,TJRS,"Las Mareas, Guayama, PR",,17.92859,-66.1597,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XREY,TJEY,"Marina Puerto del Rey, Fajardo, PR",,18.28938,-65.632,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XRUP,TIMA,"Ruperts Rock, USVI",,18.32817,-64.92661,Fixed,2015 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CARICOOS,XYAB,TJAB,"Yabucoa-El Negro, PR",,18.05245,-65.82809,Fixed,2009 - present,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),CARICOOS,,,
CeNCOOS,Trinidad,TDPC1,Trinidad Pier,Trinidad Shore Station,41.06,-124.15,fixed pier,2008-12-31 00:00:00,y,HSU/CeNCOOS,Yp,HSU,Academic,HSU,CeNCOOS/HSU,"sea_water_temperature(4.6m), sea_water_salinity(4.6m), mass_concentration_of_oxygen_in_sea_water(4.6m), sea_water_ph_measured_on_total_scale(4.6m), mass_concentration_of_chlorophyll_in_sea_water(4.6m), sea_water_turbidity,(4.6m) sea_water_pressure(4.6m)",Need to check variables,CeNCOOS.xlsx,,,,,
CeNCOOS,Humboldt,HBXC1,Humboldt Bay: Chevron Dock,Chevron Dock Pier Station,40.78,-124.2,fixed pier,2003,y,HSU/CeNCOOS,yp,HSU,Academic,HSU,CeNCOOS/HSU,"sea_water_temperature(2m), sea_water_salinity(2m), mass_concentration_of_oxygen_in_sea_water(2m), sea_water_ph_measured_on_total_scale(2m), mass_concentration_of_chlorophyll_in_sea_water(2m), sea_water_turbidity(2m), sea_water_pressure(2m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,Bodega  ,BDXC1,Bodega BDXC1,Horeshoe cove BML Seawater Intake Station,38.32,-123.07,fixed intake,2003,y,UC Davis/CeNCOOS,yp,UC Davis (BML),Academic,UC Davis (BML),BML,"sea_water_temperature(2.9m), sea_water_salinity(2.9m), mass_concentration_of chlorophyll_in_sea_water(2.9m), sea_water_pressure(2.9m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,Tomales Bay,,Tomales Bay,Tomales Bay Buoy,38.19,-122.93,moored buoy,2013-06-03 00:00:00,y,UC Davis/CeNCOOS,n,UC Davis (BML),Academic,UC Davis (BML),BML,"sea_water_temperature, sea_water_salinity, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity",,CeNCOOS.xlsx,,,,,
CeNCOOS,Hog Island,,Hog Island,Hog Island Hatchery,36.162,-122.8939,fixed intake,2014-05-31 00:00:00,y,UC Davis/CeNCOOS,Yp,UC Davis  ,Academic,UC Davis,UC Davis,"sea_water_temperature(3.03m), sea_water_salinity(3.03m), sea_water_ph_measured_on_total_scale(3.03m), partial_pressure_of_carbon_dioxide_in_sea_water(3.03m), omega_aragonite(3.03m), sea_water_alkalinity_express_as_mole_equivalent(3.03m), dissolve_carbon_dioxide(3.03m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,Carquinez,CQU1,Carquinez,Carquinez at Cal Maritime,38.07,-122.23,fixed pier,2008-02-21 00:00:00,y,SFSU/CeNCOOS,Yp,SFSU,Academic,SFSU,SFSU," sea_water_temperature(2.7m), sea_water_salinity(2.7m), mass_concentration_of_oxygen_in_sea_water(2.7m), sea_water_ph_measured_on_total_scale(2.7m), mass_concentration_of_chlorophyll_in_sea_water(2.7m), sea_water_turbidity(2.7m), sea_water_pressure(2.7m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,Tiburon,TIBC1,Tiburon,Tiburon Pier,37.89,-122.45,fixed pier,2002-11-01 00:00:00,y,SFSU/CeNCOOS,Yp,SFSU,Academic,SFSU,SFSU,"sea_water_temperature(1.9m), sea_water_salinity(1.9m), mass_concentration_of_oxygen_in_sea_water(1.9m), sea_water_ph_measured_on_total_scale(1.9m), mass_concentration_of_chlorophyll_in_sea_water(1.9m), sea_water_turbidity(1.9m), sea_water_pressure(1.9m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,Fort Point,FPXC1,Fort Point,Fort Point,37.81,-122.47,fixed pier,2009-02-28 00:00:00,y,UC Davis/CeNCOOS,Yp,UC Davis (BML),Academic,UC Davis (BML),BML,"sea_water_temperature(3.5m), sea_water_salinity(3.5m), mass_concentration_of chlorophyll_in_sea_water(3.5m), sea_water_pressure(3.5m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,Exploratorium,,Exploritorium,Exploritorium,37.8,-122.397,fixed pier,,,Exploratorium,N,Exploratorium,nonprofit,Exploratorium,Exploratorium,"sea_water_temperature, sea_water_salinity, sea_water_pressure, mass_concentration_of_oxygen_in_sea_water,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, sea_water_ph_measured_on_total_scale, dissolved_carbon_dioxide, air_temperature, air_pressure, relative_humidity, wind_speed, wind_from_direction, diffuse_downwelling_shortwave_flux_in_air",,CeNCOOS.xlsx,,,,,
CeNCOOS,IFCB San Francisco Pier 17,,San Francisco Pier 17 IFCB,San Francisco Pier 17 IFCB,37.8,-122.397,fixed pier,2016-09-01 00:00:00,o,UCSC  ,N,UCSC,Academic,UCSC,UCSC,,,CeNCOOS.xlsx,,,,,
CeNCOOS,Santa Cruz Wharf,,Santa Cruz Wharf,Santa Cruz Wharf,36.96,-122.02,fixed pier,2011-11-11 00:00:00,o,UCSC/CeNCOOS,Yp,UCSC,Academic,UCSC,CeNCOOS/UCSC,"sea_water_temperature(1m), sea_water_salinity(1m), mass_concentration_of_oxygen_in_sea_water(1m), sea_water_ph_measured_on_total_scale(1m), mass_concentration_of_chlorophyll_in_sea_water(1m), sea_water_turbidity(1m), sea_water_pressure(1m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,IFCB Santa Cruz,,Santa Cruz Municipal Wharf IFCB,Santa Cruz Municipal Wharf IFCB,36.96,-122.02,fixed pier,2015-08-01 00:00:00,y,UCSC,N,UCSC,Academic,UCSC,UCSC,,,CeNCOOS.xlsx,,,,,
CeNCOOS,Moss Landing Marine Lab,MLSC1,Moss Landing,Moss Landing Seawater Intake,36.8,-121.79,fixed pier,2010-09-03 00:00:00,y,MLML/SJSU/CeNCOOS,Yp,SJSU (MLML),Academic,SJSU (MLML),MLML,"sea_water_temperature(17m), sea_water_salinity(17m), mass_concentration_of_oxygen_in_sea_water(17m),sea_water_turbidity(17m), partial_pressure_of_carbon_dioxide_in_sea_water(17m), sea_water_ph_measured_on_total_scale(17m),mass_concentration_of_chlorophyll_in_sea_water(17m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity ",,CeNCOOS.xlsx,,,,,
CeNCOOS,M1,46092,M1,M1,36.758,-122.029,moored buoy,1991,y,MBARI,n,MBARI,nonprofit,MBARI,MBARI," sea_water_temperature(1m,10m,20m,40m,60m,80m,100m,150m,200m,250m,300m), sea_water_salinity(1m,10m,20m,40m,60m,80m,100m,150m,200m,250m,300m), sea_water_ph_measured_on_total_scale(1m), mass_concentration_of_chlorophyll_in_sea_water(1m), partial_pressure_of_carbon_dioxide_in_sea_water(1m),mass_concentration_of_oxygen_in_sea_water(1m,50m,225m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity, diffuse_downwelling_shorewave_flux_in_air, downwelling_longwave_flux_in_air",,CeNCOOS.xlsx,,,,,
CeNCOOS,Monterey Bay Aquarium Seawater Intake,,Monterey Bay Aquarium Seawater Intake,Monterey Bay Aquarium Seawater Intake,36.6186,-121.9015,fixed intake,,y,MBA,n,MBA,nonprofit,MBA,MBA ,"sea_water_temperature(16.764m), sea_water_salinity(16.764m), sea_water_ph_measured_on_total_scale(16.764m), fractional_saturation_of_oxygen_in_sea_water(16.764m)",,CeNCOOS.xlsx,,,,,
CeNCOOS,Morro Bay,MBXC1,Morro Bay,Morro Bay: T-Pier,35.37,-120.86,fixed pier,2007-01-01 00:00:00,y,Cal Poly/CeNCOOS,Yp,Cal Poly,Academic,Cal Poly,Cal Poly,"sea_water_turbidity(2m), sea_water_temperature(2m), sea_water_pressure(2m), sea_water_salinity(2m), mass_concentration_of_oxygen_in_sea_water(2m), mass_concentration_of_chlorophyll_in_sea_water(2m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity, lwe_thickness_of_precipitation_amount, solar_radiation, visibility_in_air",,CeNCOOS.xlsx,,,,,
CeNCOOS,Morro Back Bay,N/A recent station ,Morro Back Bay BS1,Morro Back Bay BS1,35.33382,-120.84725,fixed pier,2018-09-20 00:00:00,y,Cal Poly/CeNCOOS,,Cal Poly,Academic,Cal Poly,Cal Poly,"sea_water_temperature(1m), sea_water_pressure(1m), sea_water_salinity(1m),mass_concentration_of_oxygen_in_sea_water(1m),sea_water_ph_measured_on_total_scale(1m),mass_concentration_of_chlorophyll_in_sea_water(1m), sea_water_turbidity(1m),wind_speed, wind_direction_from, air_temperature, relative_humidity, air_pressure, precipitation_amount ",,CeNCOOS.xlsx,,,,,
CeNCOOS,San Luis Pier,CPXC1,San Luis Bay,San Luis Bay: Cal Poly Pier,35.17,-122.89,fixed pier,2005-05-01 00:00:00,y,Cal Poly/CeNCOOS,Yp,Cal Poly,Academic,Cal Poly,Cal Poly,"sea_water_temperature(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m) sea_water_pressure(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), sea_water_salinity(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), mass_concentration_of_chlorophyll_in_sea_water(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), sea_water_turbidity(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m),  bioluminescence(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity, lwe_thickness_of_precipitation_amount, solar_radiation, visibility_in_air",,CeNCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:076,,"076: SALT05 (Nueces River, Texas): SALT05 (Nueces River, Texas)",url: http://lighthouse.tamucc.edu/overview/076,27.89183,-97.61045,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:042,,042: Nueces Delta 2: Nueces Delta 2,url: http://lighthouse.tamucc.edu/overview/042,27.8888,-97.5696,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:043,,043: Nueces Delta 3: Nueces Delta 3,url: http://lighthouse.tamucc.edu/overview/043,27.883783,-97.5332,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:079,,079: SALT08: SALT08,url: http://lighthouse.tamucc.edu/overview/076,27.87078,-97.5177,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:074,,"074: SALT03 (Nueces Bay, Texas): SALT03 (Nueces Bay, Texas)",url: http://lighthouse.tamucc.edu/overview/074,27.85155,-97.48203,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:003,,"003: Rincon del San Jose (87778121): Rincon del San Jose; Potrero Lopeno SW, TX ",url: http://lighthouse.tamucc.edu/overview/003,26.8015,-97.4706,tide_station,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_surface_height_above_sea_level ,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:072,,"072: SALT01 (Nueces Bay, Texas): SALT01 (Nueces Bay, Texas)",url: http://lighthouse.tamucc.edu/overview/072,27.839194,-97.443972,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:170,,170: National Park Service - Baffin Bay: National Park Service - Baffin Bay,url: http://lighthouse.tamucc.edu/overview/170,27.29702,-97.40491,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,gov_federal,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:068,,"068: Baffin Bay (87766041): Baffin Bay; Point of Rocks, TX",url: http://lighthouse.tamucc.edu/overview/068,27.297,-97.4049,tide_station,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_surface_height_above_sea_level ,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:013,,"013: S. Bird Island (87761391): South Bird Island, TX",url: http://lighthouse.tamucc.edu/overview/013,27.4847,-97.3181,tide_station,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_surface_height_above_sea_level ,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:171,,171: National Park Service - Bird Island: National Park Service - Bird Island,url: http://lighthouse.tamucc.edu/overview/171,27.4847,-97.3181,fixed,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,gov_federal,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_water_temperature ,sea_water_practical_salinity ,mass_concentration_of_oxygen_in_sea_water ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:TCOON:005,,"005: Packery Channel (87757921): Packery Channel, TX",url: http://lighthouse.tamucc.edu/overview/005,27.6346,-97.237,tide_station,< 5 yr,Y,Unknown,Yp,Texas Coastal Ocean Observation Network,academic,Texas Coastal Ocean Observation Network,Jonathan Scott Duff(Scott.Duff@tamucc.edu),"sea_surface_height_above_sea_level,sea_water_temperature ,wind_speed, wind_to_direction,wind_speed_of_gust ,air_pressure ,air_temperature ",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:NOAA.NDBC:WDEL1,,WDEL1 - Shell West Delta 143,url: http://www.ndbc.noaa.gov/station_page.php?station=WDEL1,28.662,-89.551,fixed,Unknown,Y till 2018,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (info@gcoos.org),"air_pressure,air_temperature,dew_temeperature,winds",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42370,42370.0,42370 - Holstein - Green Canyon 645,url: http://ndbc.noaa.gov/station_page.php?station=42370,27.322,-90.536,fixed,Unknown,Y,Unknown,N,BP Inc,industry,BP Inc,GCOOS (info@gcoos.org),"air_temperature,air_pressure,dew_temeperature,sea_water_temperature,currents,winds",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42377,42377.0,42377 - Constitution - Green Canyon 680,url: http://ndbc.noaa.gov/station_page.php?station=42377,27.293,-90.968,fixed,Unknown,Y,Unknown,N,Kerr-McGee Oil and Gas Corporation,industry,Kerr-McGee Oil and Gas Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42364,42364.0,42364 - Ram-Powell - Viosca Knoll 936,url: http://www.ndbc.noaa.gov/station_page.php?station=42364,29.06,-88.09,Ffixed,Unknown,Y till 2018,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (info@gcoos.org),"air_pressure,air_temperature,currents,dew_temeperature,winds",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42363,42363.0,42363 - Mars - Mississippi Canyon 807,url: http://www.ndbc.noaa.gov/station_page.php?station=42363,28.16,-89.22,fixed,Unknown,Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42365,42365.0,42365 - Ursa - Mississippi Canyon 809,url: http://ndbc.noaa.gov/station_page.php?station=42365,28.2,-89.12,offshore_tower,Unknown,N to Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (info@gcoos.org),"air_temperature,dew_temeperature,sea_water_temperature,currents",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42382,42382.0,42382 - Gunnison - Garden Banks 668,url: http://ndbc.noaa.gov/station_page.php?station=42382,27.304,-93.538,fixed,Unknown,N to Y,Unknown,N,Kerr-McGee Oil and Gas Corporation,industry,Kerr-McGee Oil and Gas Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42383,42383.0,42383 - Neptune - Green Canyon 613,url: http://ndbc.noaa.gov/station_page.php?station=42383,27.37,-89.924,fixed,Unknown,N to Y,Unknown,N,BHP Billiton,industry,BHP Billiton,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42385,42385.0,42385 - Blind Faith - Mississippi Canyon 696,url: http://ndbc.noaa.gov/station_page.php?station=42385,28.34,-88.266,fixed,Unknown,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42386,42386.0,42386 - Tahiti - Green Canyon 641,url: http://ndbc.noaa.gov/station_page.php?station=42386,27.326,-90.714,fixed,Unknown,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42887,42887.0,42887 - Thunder Horse - Mississippi Canyon 778,url: http://ndbc.noaa.gov/station_page.php?station=42887,28.191,-88.496,offshore_platform,Unknown,Y,Unknown,N,BP Inc,industry,BP Inc,GCOOS (info@gcoos.org),"air_temperature,dew_temeperature,sea_water_temperature,currents,winds,waves",,GCOOS.xlsx,,,,,
GCOOS,ioos:station:wmo:42917,42917.0,42917 - Discoverer Inspiration - Green Canyon 641,http://ndbc.noaa.gov/station_page.php?station=42917,27.359,-90.743,offshore_platform,Unknown,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,GCOOS.xlsx,,,,,
