RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,Dataset (ERDDAP) ID
CeNCOOS,Kibesilla Hill,N/A not real-time,Kibisilla Hill,Kibesilla Hill Intertidal Station,39.6,-123.79,fixed intertidal,2007,n,SSU/CeNCOOS,Yp,SFSU,Academic,SFSU,SFSU,"sea_water_temperature, sea_water_ph_measured_on_total_scale, sea_water_pressure, mass_concentration_of_chlorophyll_in_sea_water",,CENCOOS.xlsx,
CeNCOOS,Bodega Head,N/A not real-time,Bodega Head,Bodega Head intertidal station,38.32,-123.07,fixed intertidal,2007,n,SSU/CeNCOOS,Yp,SFSU,Academic,SFSU,SFSU,"sea_water_temperature, sea_water_ph_measured_on_total_scale, sea_water_pressure, mass_concentration_of_chlorophyll_in_sea_water",,CENCOOS.xlsx,
CeNCOOS,Bodega  ,BDXC1,Bodega,Horeshoe cove BML Seawater Intake Station,38.32,-123.07,fixed intake,2003,y,UC Davis/CeNCOOS,yp,UC Davis (BML),Academic,UC Davis (BML),BML,"sea_water_temperature(2.9m), sea_water_salinity(2.9m), mass_concentration_of chlorophyll_in_sea_water(2.9m), sea_water_pressure(2.9m)",,CENCOOS.xlsx,
CeNCOOS,IFCB163,,Bodega IFCB163,Bodega IFCB163,38.3185,-123.0716,fixed pier,2022-06-01 00:00:00,y,UC Davis/CeNCOOS,Yp,UC Davis (BML),Academic,UC Davis (BML),,,,CENCOOS.xlsx,
CeNCOOS,Tomales Bay,,Tomales Bay,Tomales Bay Buoy,38.19,-122.93,moored buoy,2013-06-03 00:00:00,y,UC Davis/CeNCOOS,n,UC Davis (BML),Academic,UC Davis (BML),BML,"sea_water_temperature, sea_water_salinity, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity",,CENCOOS.xlsx,
CeNCOOS,Hog Island,,Hog Island,Hog Island Hatchery,36.162,-122.8939,fixed intake,2014-05-31 00:00:00,y,UC Davis/CeNCOOS,Yp,UC Davis  ,Academic,UC Davis,UC Davis,"sea_water_temperature(3.03m), sea_water_salinity(3.03m), sea_water_ph_measured_on_total_scale(3.03m), partial_pressure_of_carbon_dioxide_in_sea_water(3.03m), omega_aragonite(3.03m), sea_water_alkalinity_express_as_mole_equivalent(3.03m), dissolve_carbon_dioxide(3.03m)",,CENCOOS.xlsx,
CeNCOOS,Carquinez,CQU1,Carquinez,Carquinez at Cal Maritime,38.07,-122.23,fixed pier,2008-02-21 00:00:00,y,SFSU/CeNCOOS,Yp,SFSU,Academic,SFSU,SFSU," sea_water_temperature(2.7m), sea_water_salinity(2.7m), mass_concentration_of_oxygen_in_sea_water(2.7m), sea_water_ph_measured_on_total_scale(2.7m), mass_concentration_of_chlorophyll_in_sea_water(2.7m), sea_water_turbidity(2.7m), sea_water_pressure(2.7m)",,CENCOOS.xlsx,
CeNCOOS,Tiburon,TIBC1,Tiburon,Tiburon Pier,37.89,-122.45,fixed pier,2002-11-01 00:00:00,y,SFSU/CeNCOOS,Yp,SFSU,Academic,SFSU,SFSU,"sea_water_temperature(1.9m), sea_water_salinity(1.9m), mass_concentration_of_oxygen_in_sea_water(1.9m), sea_water_ph_measured_on_total_scale(1.9m), mass_concentration_of_chlorophyll_in_sea_water(1.9m), sea_water_turbidity(1.9m), sea_water_pressure(1.9m)",,CENCOOS.xlsx,
CeNCOOS,Fort Point,FPXC1,Fort Point,Fort Point,37.81,-122.47,fixed pier,2009-02-28 00:00:00,y,UC Davis/CeNCOOS,Yp,UC Davis (BML),Academic,UC Davis (BML),BML,"sea_water_temperature(3.5m), sea_water_salinity(3.5m), mass_concentration_of chlorophyll_in_sea_water(3.5m), sea_water_pressure(3.5m)",,CENCOOS.xlsx,
CeNCOOS,Exploratorium,,Exploritorium,Exploritorium,37.8,-122.397,fixed pier,,o,Exploratorium,N,Exploratorium,nonprofit,Exploratorium,Exploratorium,"sea_water_temperature, sea_water_salinity, sea_water_pressure, mass_concentration_of_oxygen_in_sea_water,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, sea_water_ph_measured_on_total_scale, dissolved_carbon_dioxide, air_temperature, air_pressure, relative_humidity, wind_speed, wind_from_direction, diffuse_downwelling_shortwave_flux_in_air",,CENCOOS.xlsx,
CeNCOOS,IFCB San Francisco Pier 17,,San Francisco Pier 17 IFCB,San Francisco Pier 17 IFCB,37.8,-122.397,fixed pier,2016-09-01 00:00:00,o,UCSC  ,N,UCSC,Academic,UCSC,UCSC,,,CENCOOS.xlsx,
CeNCOOS,Santa Cruz Wharf,,Santa Cruz Wharf,Santa Cruz Wharf,36.96,-122.02,fixed pier,2011-11-11 00:00:00,o,UCSC/CeNCOOS,Yp,UCSC,Academic,UCSC,CeNCOOS/UCSC,"sea_water_temperature(1m), sea_water_salinity(1m), mass_concentration_of_oxygen_in_sea_water(1m), sea_water_ph_measured_on_total_scale(1m), mass_concentration_of_chlorophyll_in_sea_water(1m), sea_water_turbidity(1m), sea_water_pressure(1m)",,CENCOOS.xlsx,
CeNCOOS,IFCB Santa Cruz,,Santa Cruz Municipal Wharf IFCB,Santa Cruz Municipal Wharf IFCB,36.96,-122.02,fixed pier,2015-08-01 00:00:00,y,UCSC,N,UCSC,Academic,UCSC,UCSC,,,CENCOOS.xlsx,
CeNCOOS,Moss Landing Marine Lab,MLSC1,Moss Landing,Moss Landing Seawater Intake,36.8,-121.79,fixed pier,2010-09-03 00:00:00,y,MLML/SJSU/CeNCOOS,Yp,SJSU (MLML),Academic,SJSU (MLML),MLML,"sea_water_temperature(17m), sea_water_salinity(17m), mass_concentration_of_oxygen_in_sea_water(17m),sea_water_turbidity(17m), partial_pressure_of_carbon_dioxide_in_sea_water(17m), sea_water_ph_measured_on_total_scale(17m),mass_concentration_of_chlorophyll_in_sea_water(17m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity ",,CENCOOS.xlsx,
CeNCOOS,M1,46092,M1,M1,36.758,-122.029,moored buoy,1991,y,MBARI,n,MBARI,nonprofit,MBARI,MBARI," sea_water_temperature(1m,10m,20m,40m,60m,80m,100m,150m,200m,250m,300m), sea_water_salinity(1m,10m,20m,40m,60m,80m,100m,150m,200m,250m,300m), sea_water_ph_measured_on_total_scale(1m), mass_concentration_of_chlorophyll_in_sea_water(1m), partial_pressure_of_carbon_dioxide_in_sea_water(1m),mass_concentration_of_oxygen_in_sea_water(1m,50m,225m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity, diffuse_downwelling_shorewave_flux_in_air, downwelling_longwave_flux_in_air",,CENCOOS.xlsx,
CeNCOOS,Monterey Wharf,MYXC1,Monterey Wharf,Monterey: Municipal Wharf II,36.61,-121.89,fixed pier,2015-05-04 00:00:00,o,MLML/SJSU/CeNCOOS,Yp,SJSU (MLML),Academic,SJSU (MLML),MLML,"sea_water_temperature(2.5m), sea_water_salinity(2.5m), mass_concentration_of_oxygen_in_sea_water(2.5m), sea_water_ph_measured_on_total_scale(2.5m), mass_concentration_of_chlorophyll_in_sea_water(2.5m), sea_water_turbidity(2.5m), sea_water_pressure(2.5m)",,CENCOOS.xlsx,
CeNCOOS,Monterey Bay Aquarium,,Monterey Bay Aquarium,Monterey Bay Aquarium Seawater Intake,36.6186,-121.9015,fixed intake,,y,MBA,n,MBA,nonprofit,MBA,MBA ,"sea_water_temperature(16.764m), sea_water_salinity(16.764m), sea_water_ph_measured_on_total_scale(16.764m), fractional_saturation_of_oxygen_in_sea_water(16.764m)",,CENCOOS.xlsx,
CeNCOOS,Morro Bay,MBXC1,Morro Bay,Morro Bay: T-Pier,35.37,-120.86,fixed pier,2007-01-01 00:00:00,y,Cal Poly/CeNCOOS,Yp,Cal Poly,Academic,Cal Poly,Cal Poly,"sea_water_turbidity(2m), sea_water_temperature(2m), sea_water_pressure(2m), sea_water_salinity(2m), mass_concentration_of_oxygen_in_sea_water(2m), mass_concentration_of_chlorophyll_in_sea_water(2m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity, lwe_thickness_of_precipitation_amount, solar_radiation, visibility_in_air",,CENCOOS.xlsx,
CeNCOOS,Morro Back Bay,N/A recent station ,Morro Back Bay BS1,Morro Back Bay BS1,35.33382,-120.84725,fixed pier,2018-09-20 00:00:00,y,Cal Poly/CeNCOOS,,Cal Poly,Academic,Cal Poly,Cal Poly,"sea_water_temperature(1m), sea_water_pressure(1m), sea_water_salinity(1m),mass_concentration_of_oxygen_in_sea_water(1m),sea_water_ph_measured_on_total_scale(1m),mass_concentration_of_chlorophyll_in_sea_water(1m), sea_water_turbidity(1m),wind_speed, wind_direction_from, air_temperature, relative_humidity, air_pressure, precipitation_amount ",,CENCOOS.xlsx,
CeNCOOS,San Luis Pier,CPXC1,San Luis Bay,San Luis Bay: Cal Poly Pier,35.17,-122.89,fixed pier,2005-05-01 00:00:00,y,Cal Poly/CeNCOOS,Yp,Cal Poly,Academic,Cal Poly,Cal Poly,"sea_water_temperature(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m) sea_water_pressure(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), sea_water_salinity(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), mass_concentration_of_chlorophyll_in_sea_water(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), sea_water_turbidity(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m),  bioluminescence(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,5m,5.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), wind_speed, wind_from_direction, air_temperature, air_pressure, relative_humidity, lwe_thickness_of_precipitation_amount, solar_radiation, visibility_in_air",,CENCOOS.xlsx,
GCOOS,ioos:station:CBI:042,,042: Nueces Delta 2: Nueces Delta 2,https://lighthouse.tamucc.edu/overview/042,27.8888,-97.5696,fixed,>5 yr,Y,Unknown,N,The Coastal Bend Bays & Estuaries Program,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:069,,069: Nueces Delta Weather Station,https://lighthouse.tamucc.edu/overview/069,27.8976,-97.6165,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:072,,"072: SALT01 (Nueces Bay, Texas): SALT01 (Nueces Bay, Texas)",https://lighthouse.tamucc.edu/overview/072,27.839194,-97.443972,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:074,,"074: SALT03 (Nueces Bay, Texas): SALT03 (Nueces Bay, Texas)",https://lighthouse.tamucc.edu/overview/074,27.85155,-97.48203,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:076,,"076: SALT05 (Nueces River, Texas): SALT05 (Nueces River, Texas)",https://lighthouse.tamucc.edu/overview/076,27.89183,-97.61045,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:127,,127: GBRA Station #1,https://lighthouse.tamucc.edu/stnattr/127,28.2598,-96.7737,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, turbidity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:130,,130: GBRA Station #2,https://lighthouse.tamucc.edu/overview/130,28.4073,-96.7122,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:138,,138: Packery Current Meter #2,https://lighthouse.tamucc.edu/overview/138,27.6228,-97.2154,fixed,>5 yr,Y,Unknown,N,USACE - The Coastal & Hydraulics Laboratory,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:170,,170: National Park Service - Baffin Bay: National Park Service - Baffin Bay,https://lighthouse.tamucc.edu/overview/170,27.29702,-97.40491,fixed,>5 yr,Y,Unknown,N,United States National Park Service,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:171,,171: National Park Service - Bird Island: National Park Service - Bird Island,https://lighthouse.tamucc.edu/overview/171,27.4847,-97.3181,fixed,>5 yr,Y,Unknown,N,United States National Park Service,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:185,,185: Nueces Bay,https://lighthouse.tamucc.edu/overview/185,27.8328,-97.486,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:236,,236: Corpus Christi Meteorological TAMUCC,https://lighthouse.tamucc.edu/overview/236,27.7151,-97.3288,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:242,,242: Oso Creek Water Level Station #1,https://lighthouse.tamucc.edu/overview/242,27.7217,-97.4579,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:243,,243: Oso Creek Water Level Station #2,https://lighthouse.tamucc.edu/overview/243,27.6888,-97.4293,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:244,,244: Oso Creek Water Level Station #3,https://lighthouse.tamucc.edu/overview/244,27.6569,-97.4016,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:256,,256: Corpus Christi Meteorological Station #7,https://lighthouse.tamucc.edu/overview/256,27.8678,-97.6318,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:275,,275: Corpus Christi Meteorological Rodd Field,https://lighthouse.tamucc.edu/overview/275,27.6763,-97.3525,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:276,,276: Corpus Christi Meteorological Carmel,https://lighthouse.tamucc.edu/overview/276,27.7317,-97.378,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:277,,277: Corpus Christi Meteorological Cedar Pass,https://lighthouse.tamucc.edu/overview/277,27.6851,-97.4169,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:278,,278: Corpus Christi Meteorological Del-Mar East,https://lighthouse.tamucc.edu/overview/278,27.7643,-97.4044,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:CBI:279,,279: Corpus Christi Meteorological Del-Mar West,https://lighthouse.tamucc.edu/overview/279,27.7735,-97.4401,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:COAPS:N7,,COAPS.Tower.N7,https://coaps.fsu.edu/ngi/,29.6619,-84.3731,offshore_tower,>5 yr,N,Unknown,N,Center for Ocean-Atmospheric Prediction Studies,academic,Center for Ocean-Atmospheric Prediction Studies,GCOOS (data@gcoos.org),"sea_water_temperature, air_temperature, air_pressure, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust, dew_point_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:BSCA,,"BSCA: Station Bon Secour, LA",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:BSCA,30.3288,-87.8293,offshore_tower,>5 yr,Y,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water, relative_humidity, sea_water_turbidity",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:CATA,,"CATA: Cedar Point, AL",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:CATA,30.3085,-88.1395,fixed,>5 yr,Y,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water, relative_humidity ",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:DISL,,"DISL: Dauphin Island, AL",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:DISL,30.2513,-88.0778,fixed,>5 yr,Y,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water, relative_humidity ",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:KATA,,"KATA: Katrina Cut, AL",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:KATA,30.2583,-88.2131,fixed,>5 yr,N,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water, relative_humidity ",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:MBLA,,"MBLA: Middle Bay Light, AL",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:MBLA,30.4367,-88.0117,offshore_tower,>5 yr,N,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water, relative_humidity ",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:MHPA,,"MHPA: Meaher Park, AL",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:MHPA,30.6671,-87.9365,fixed,>5 yr,N,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:PPTA,,"PPTA: Perdido Pass, AL",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:PPTA,30.2791,-87.5561,fixed,>5 yr,Y,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water, relative_humidity ",,GCOOS.xlsx,
GCOOS,ioos:station:DISL:WECP,42031,"42031 - West End CP, AL",https://data.gcoos.org/monitoring.php?station=ioos:station:DISL:WECP,30.0902,-88.2116,fixed,>5 yr,N,Unknown,Yp,Dauphin Island Sea Laboratory,academic,Dauphin Island Sea Laboratory,Melissa Mills (mmills@disl.org),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:FWRI:NPD,,FWRI NPD: New Pass Dock,https://myfwc.com/research/redtide/monitoring/,27.33375,-82.579374,fixed,>5 yr,N,Unknown,N,Florida Fish and Wildlife Research Institute,academic,Florida Fish and Wildlife Research Institute,GCOOS (data@gcoos.org),"mass_concentration_of_chlorophyll_in_sea_water, mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_turbidity, sea_water_temperature",,GCOOS.xlsx,
GCOOS,ioos:station:FWRI:OTB,,FWRI OTB: Old Tampa Bay,https://myfwc.com/research/redtide/monitoring/,27.932,-82.647455,fixed,>5 yr,N,Unknown,N,Florida Fish and Wildlife Research Institute,academic,Florida Fish and Wildlife Research Institute,GCOOS (data@gcoos.org),"mass_concentration_of_chlorophyll_in_sea_water, mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_turbidity, sea_water_temperature, air_temperature, air_pressure, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,
GCOOS,ioos:station:GCOOS:42G01,,42G01 - Deepwater Titan - MC937,https://ntl.gcoos.org/station_details.php?station=42G01,28.0262,-89.3011,offshore_platform,<5 yr,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,
GCOOS,ioos:station:LUMCON:101,,"101: LUMCON Marine Center, LA",https://data.gcoos.org/monitoring.php?station=ioos:station:LUMCON:101,29.25333,-90.66333,fixed,>5 yr,Y,Unknown,N,Louisiana Universities Marine Consortium,nonprofit,Louisiana Universities Marine Consortium,Alexander Ren(aren@lumcon.edu),"air_pressure, air_temperature, mass_concentration_of_oxygen_in_sea_water, relative_humidity, sea_water_practical_salinity, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, mass_concentration_of_chlorophyll_in_sea_water",,GCOOS.xlsx,
GCOOS,ioos:station:LUMCON:102,,"102: Terrebonne Bay, LA",https://data.gcoos.org/monitoring.php?station=ioos:station:LUMCON:102,29.187,-90.6093,offshore_tower,>5 yr,N,Unknown,N,Louisiana Universities Marine Consortium,nonprofit,Louisiana Universities Marine Consortium,Alexander Ren(aren@lumcon.edu),"sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_temperature, relative_humidity, air_pressure, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water",,GCOOS.xlsx,
GCOOS,ioos:station:LUMCON:103,,"103: Western Lake Ponchartrain, LA",https://data.gcoos.org/monitoring.php?station=ioos:station:LUMCON:103,30.18894,-90.16831,offshore_tower,>5 yr,N,Unknown,N,Louisiana Universities Marine Consortium,nonprofit,Louisiana Universities Marine Consortium,Alexander Ren(aren@lumcon.edu),"sea_surface_height_above_sea_level, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity, air_pressure, air_temperature, relative_humidity",,GCOOS.xlsx,
GCOOS,ioos:station:LUMCON:104,,104: MissRiver-Audobon,https://data.gcoos.org/monitoring.php?station=ioos:station:LUMCON:104,29.5526,-90.807,fixed,>5 yr,N,Unknown,N,Louisiana Universities Marine Consortium,nonprofit,Louisiana Universities Marine Consortium,Alexander Ren(aren@lumcon.edu),sea_water_practical_salinity,,GCOOS.xlsx,
GCOOS,ioos:station:LUMCON:105,,"105: Tambour Bay, LA",https://data.gcoos.org/monitoring.php?station=ioos:station:LUMCON:105,29.18737,-90.66542,offshore_tower,>5 yr,N,Unknown,N,Louisiana Universities Marine Consortium,nonprofit,Louisiana Universities Marine Consortium,Alexander Ren(aren@lumcon.edu),"sea_surface_height_above_sea_level, wind_speed, wind_to_direction, wind_speed_of_gust, air_temperature, relative_humidity",,GCOOS.xlsx,
