RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,Time Period,"CARICOOS Contact
(Name and Email)",Dataset (ERDDAP) ID
GCOOS,ioos:station:WAVCIS:CSI15,,CSI15: Ship Shoal blocks 114A,https://data.gcoos.org/monitoring.php?station=ioos:station:WAVCIS:CSI15,28.8332,-90.832,offshore_tower,>5 yr,N,Unknown,Yp,Wave-Current-Surge Information System for Coastal Louisiana,academic,Wave-Current-Surge Information System for Coastal Louisiana,Yixin (Peter) Luo(yluo2@lsu.edu),"sea_surface_height_above_sea_level, sea_water_temperature, sea_surface_wave_mean_ height,  sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period, wind_speed, wind_to_direction, wind_speed_of_gust, air_pressure, air_temperature, relative_humidity",,GCOOS.xlsx,,,
GCOOS,ioos:station:WAVCIS:CSI16,,CSI16: Chevron MP41M platform,https://data.gcoos.org/monitoring.php?station=ioos:station:WAVCIS:CSI16,29.4012,-89.0355,offshore_tower,>5 yr,N,Unknown,Yp,Wave-Current-Surge Information System for Coastal Louisiana,academic,Wave-Current-Surge Information System for Coastal Louisiana,Yixin (Peter) Luo(yluo2@lsu.edu),"sea_surface_height_above_sea_level, sea_water_temperature, sea_surface_wave_mean_ height,  sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period, wind_speed, wind_to_direction, wind_speed_of_gust, air_pressure, air_temperature, relative_humidity, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42043,42043,TABS B: GA-252,https://tabs.gerg.tamu.edu/Tglo/met.php?buoy=B,28.9818,-94.9186,moored_buoy,>5 yr,N,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, air_pressure, air_temperature, relative_humidity, sea_water_practical_salinity ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42044,42044,TABS J: PS-1126 ,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=J,26.1914,-97.0507,moored_buoy,>5 yr,Y,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, air_pressure, air_temperature, relative_humidity, sea_water_practical_salinity ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42045,42045,TABS K: PI-745 ,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=K,26.2168,-96.4998,moored_buoy,>5 yr,N,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, air_pressure, air_temperature, relative_humidity, sea_water_practical_salinity, wind_speed, wind_to_direction, wind_speed_of_gust ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42046,42046,TABS N: HI-A595,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=N,27.8903,-94.0367,moored_buoy,>5 yr,N,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, air_pressure, air_temperature, relative_humidity, sea_water_practical_salinity, wind_speed, wind_to_direction, wind_speed_of_gust ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42047,42047,TABS V: HI-A389,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=V,27.8966,-93.5973,moored_buoy,>5 yr,N,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, air_pressure, air_temperature, relative_humidity, sea_water_practical_salinity, wind_speed, wind_to_direction, wind_speed_of_gust  ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42048,42048,TABS D: TABS D,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=D,27.9396,-96.8429,moored_buoy,>5 yr,Y,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42049,42049,TABS W: TABS W,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=W,28.3507,-96.0058,moored_buoy,>5 yr,Y,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity  ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42050,42050,TABS F: TABS F,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=F,28.8425,-94.2433,moored_buoy,>5 yr,N,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity  ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42051,42051,TABS R: TABS R,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=R,29.635,-93.6417,moored_buoy,>5 yr,Y,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42052,42052,TABS X:TABS X,https://tabs.gerg.tamu.edu/Tglo/ven.php?buoy=X,27.066,-96.3383,academic,>5 yr,N,Unknown,N,Texas General Land Office,academic,"Texas Automated Buoy System, TAMU",Lee Woody(woody@gerg.tamu.edu),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, air_pressure, air_temperature, relative_humidity, sea_water_practical_salinity, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42067,42067,42067 – USM-R1,https://oceancube.usm.edu,30.043,-88.649,fixed,>5 yr,Y,Unknown,N,University of Southern Mississippi,academic,University of Southern Mississippi,James Davis (j.davis@usm.edu),"air_temperature, air_pressure, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, relative_humidity, sea_water_practical_salinity,  sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height,  sea_surface_wave_ signifcant _to_direction,  sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42067.1,42067.1 (the WMO was reused),USM3M02: 42067 - USM3M02,https://data.gcoos.org/monitoring.php?station=ioos:station:wmo:42067,30.0498,-88.6833,moored_buoy,>5 yr,N,Unknown,N,Central Gulf Ocean Observing System,academic,Central Gulf Ocean Observing System,Jamie Davis(j.davis@usm.edu),"sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity, air_pressure, air_temperature, relative_humidity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42084,42084,"42084 - Southwest Pass Entrance W, LA",https://www.ndbc.noaa.gov/station_page.php?station=42084,28.988,-89.649,Waverider Buoy,>5 yr,N,Unknown,N,Scripps Institution of Oceanography,industry,Scripps Institution of Oceanography,GCOOS (data@gcoos.org),"sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42091,42091,"42091 - Trinity Shoal, LA",https://www.ndbc.noaa.gov/station_page.php?station=42091,29.087,-92.506,Waverider Buoy,>5 yr,N,Unknown,N,Scripps Institution of Oceanography,industry,Scripps Institution of Oceanography,GCOOS (data@gcoos.org),"sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42093,42093,"42093 - Grand Isle Outer, LA",https://cdip.ucsd.edu/m/products/?stn=247p1,29.01665,-89.83244,Waverider Buoy,>5 yr,N,Unknown,N,Scripps Institution of Oceanography,industry,Scripps Institution of Oceanography,GCOOS (data@gcoos.org),"sea_water_temperature, air_temperature, air_pressure, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42095,42095,"42095 - Satan Shoal, FL",https://cdip.ucsd.edu/m/products/?stn=244p1,24.40717,-81.96684,Waverider Buoy,>5 yr,Y,Unknown,N,Scripps Institution of Oceanography,industry,Scripps Institution of Oceanography,GCOOS (data@gcoos.org),"sea_water_temperature, air_temperature, air_pressure, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42097,42097,"42097 - Pulley Ridge, FL",https://cdip.ucsd.edu/m/products/?stn=226p1,25.7,-83.65,Waverider Buoy,>5 yr,Y,Unknown,N,Scripps Institution of Oceanography,industry,Scripps Institution of Oceanography,GCOOS (data@gcoos.org),"sea_water_temperature, air_temperature, air_pressure, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42098,42098,"42098 - Egmont Channel Entrance, FL",https://cdip.ucsd.edu/m/products/?stn=214p1,27.5903,-82.9313,Waverider Buoy,>5 yr,Y,Unknown,N,Scripps Institution of Oceanography,industry,Scripps Institution of Oceanography,GCOOS (data@gcoos.org),"sea_water_temperature, air_temperature, air_pressure, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42099,42099,"42099 - Offshore St. Petersburg, FL (144)",https://www.ndbc.noaa.gov/station_page.php?station=42099,27.34,-84.275,Waverider Buoy,>5 yr,Y,Unknown,N,Scripps Institution of Oceanography,industry,Scripps Institution of Oceanography,GCOOS (data@gcoos.org),"sea_water_temperature, air_temperature, air_pressure, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42360,42360,42360 - BW Pioneer buoy - C16471 - Walker Ridge 249,https://ntl.gcoos.org/station_details.php?station=42360,26.689,-90.459,fixed,>5 yr,Y,Unknown,N,Murphy Exploration and Production Company,industry,Murphy Exploration and Production Company,GCOOS (data@gcoos.org),"sea_water_temperature, air_temperature, air_pressure, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_surface_wave_mean_ height,  sea_surface_wave_ signifcant _to_direction,  sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42361,42361,42361 - Auger - Garden Banks 426,https://www.ndbc.noaa.gov/station_page.php?station=42361,27.55,-92.49,fixed,>5 yr,Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (data@gcoos.org),"air_pressure, air_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, dew_point_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42362,42362,42362 - Brutus - Green Canyon 158,https://ntl.gcoos.org/station_details.php?station=42362,27.795,-90.648,fixed,>5 yr,Y,Unknown,N,Enven Energy Corporation,industry,Enven Energy Corporation,GCOOS (data@gcoos.org),"air_pressure, air_temperature ,dew_point_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42363,42363,42363 - Mars - Mississippi Canyon 807,https://ntl.gcoos.org/station_details.php?station=42363,28.16,-89.22,fixed,>5 yr,N,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42364,42364,42364 - Ram-Powell - Viosca Knoll 936,https://ntl.gcoos.org/station_details.php?station=42364,29.06,-88.09,Ffixed,>5 yr,N,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (data@gcoos.org),"air_pressure, air_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, dew_point_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42365,42365,42365 - Ursa - Mississippi Canyon 809,https://ntl.gcoos.org/station_details.php?station=42365,28.2,-89.12,offshore_tower,>5 yr,N,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (data@gcoos.org),"air_temperature,dew_point_temperature,sea_water_temperature,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42366,42366,42366 - Red Hawk - Garden Banks 877,https://ntl.gcoos.org/station_details.php?station=42366,27.122,-91.959,fixed,>5 yr,N,Unknown,N,Kerr-McGee Oil and Gas Corporation,industry,Kerr-McGee Oil and Gas Corporation,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42367,42367,42367 - Matterhorn TLP - Mississippi Canyon 243,https://ntl.gcoos.org/station_details.php?station=42367,28.742,-88.826,fixed,>5 yr,N,Unknown,N,"Total USA, Inc.",industry,"Total USA, Inc.",GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42368,42368,42368 - Magnolia - Garden Banks 783,https://ntl.gcoos.org/station_details.php?station=42368,27.204,-92.203,fixed,>5 yr,N,Unknown,N,ConocoPhillips ,industry,ConocoPhillips ,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42369,42369,42369 - Mad Dog Spar - Green Canyon 782,https://ntl.gcoos.org/station_details.php?station=42369,27.207,-90.283,fixed,>5 yr,Y,Unknown,N,BP Inc,industry,BP Inc,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period, air_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42370,42370,42370 - Holstein - Green Canyon 645,https://ntl.gcoos.org/station_details.php?station=42370,27.322,-90.536,fixed,>5 yr,N,Unknown,N,BP Inc,industry,BP Inc,GCOOS (data@gcoos.org),"air_temperature, air_pressure, dew_point_temperature, sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42371,42371,42371 - Typhoon - Green Canyon 237,https://ntl.gcoos.org/station_details.php?station=42371,27.732,-91.111,fixed,>5 yr,N,Unknown,N,Chevron,industry,Chevron,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42372,42372,42372 - Genesis SPAR - Green Canyon 205A,https://ntl.gcoos.org/station_details.php?station=42372,27.78,-90.518,fixed,>5 yr,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42373,42373,42373 - Boomvang - East Breaks 643,https://ntl.gcoos.org/station_details.php?station=42373,27.354,-94.625,fixed,>5 yr,N,Unknown,N,Kerr-McGee Oil and Gas Corporation,industry,Kerr-McGee Oil and Gas Corporation,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42374,42374,42374 - Horn Mountain - Mississippi Canyon 126 and 127,https://ntl.gcoos.org/station_details.php?station=42374,28.866,-88.056,fixed,>5 yr,N,Unknown,N,BP Inc,industry,BP Inc,GCOOS (data@gcoos.org),"sea_water_temperature,sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period, wind_speed, wind_to_direction,wind_speed_of_gust, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42375,42375,42375 - Na Kika - Mississippi Canyon 474,https://ntl.gcoos.org/station_details.php?station=42375,28.521,-88.289,fixed,>5 yr,N,Unknown,N,BP Inc,industry,BP Inc,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42376,42376,42376 - Marlin TLP - Viosca Knoll 915,https://ntl.gcoos.org/station_details.php?station=42376,29.108,-87.944,fixed,>5 yr,N,Unknown,N,BP Inc,industry,BP Inc,GCOOS (data@gcoos.org),"air_pressure, air_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42377,42377,42377 - Constitution - Green Canyon 680,https://ntl.gcoos.org/station_details.php?station=42377,27.293,-90.968,fixed,>5 yr,N,Unknown,N,Kerr-McGee Oil and Gas Corporation,industry,Kerr-McGee Oil and Gas Corporation,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42379,42379,42379 - Marco Polo - Green Canyon 608,https://ntl.gcoos.org/station_details.php?station=42379,27.362,-90.181,fixed,>5 yr,N,Unknown,N,Anadarko Petroleum Corporation,industry,Anadarko Petroleum Corporation,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42380,42380,42380 - Devil's Tower - Mississippi Canyon 773\,https://ntl.gcoos.org/station_details.php?station=42380,28.209,-88.737,fixed,>5 yr,N,Unknown,N,Williams,industry,Williams,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_practical_salinity, sea_water_temperature               ",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42381,42381,42381 - Innovator - Mississippi Canyon 711,https://ntl.gcoos.org/station_details.php?station=42381,28.221,-89.615,fixed,>5 yr,N,Unknown,N,ATP Oil & Gas Corporation,industry,ATP Oil & Gas Corporation,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42382,42382,42382 - Gunnison - Garden Banks 668,https://ntl.gcoos.org/station_details.php?station=42382,27.304,-93.538,fixed,>5 yr,N,Unknown,N,Kerr-McGee Oil and Gas Corporation,industry,Kerr-McGee Oil and Gas Corporation,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,  sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42383,42383,42383 - Neptune - Green Canyon 613,https://ntl.gcoos.org/station_details.php?station=42383,27.37,-89.924,fixed,>5 yr,Y,Unknown,N,BHP Billiton,industry,BHP Billiton,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,  sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42384,42384,42384 - Prince TLP - Ewing Bank 1003,https://ntl.gcoos.org/station_details.php?station=42384,27.993,-90.326,fixed,>5 yr,Y,Unknown,N,"El Paso E&P Company, L.P.",industry,"El Paso E&P Company, L.P.",GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42385,42385,42385 - Blind Faith - Mississippi Canyon 696,https://ntl.gcoos.org/station_details.php?station=42385,28.34,-88.266,fixed,>5 yr,N,Unknown,N,Chevron,industry,Chevron,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,  sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42386,42386,42386 - Tahiti - Green Canyon 641,https://ntl.gcoos.org/station_details.php?station=42386,27.326,-90.714,fixed,>5 yr,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,  sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42387,42387,42387 - Thunderhawk - Mississippi Canyon 734,https://ntl.gcoos.org/station_details.php?station=42387,28.267,-88.399,fixed,>5 yr,N,Unknown,N,Murphy Exploration & Production Company,industry,Murphy Exploration & Production Company,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42388,42388,42388 - Helix Producer 1 - Green Canyon 237,https://ntl.gcoos.org/station_details.php?station=42388,27.73,-91.109,offshore_platform,>5 yr,Y,Unknown,N,Helix,industry,Helix,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42390,42390,42390 - Perdido Host - Alaminos Canyon 857,https://ntl.gcoos.org/station_details.php?station=42390,26.129,-94.898,fixed,>5 yr,Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (data@gcoos.org),"air_pressure, air_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, dew_point_temperature, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42391,42391,42391 - Titan - Mississippi Canyon 941,https://ntl.gcoos.org/station_details.php?station=42391,28.034,-89.101,fixed,>5 yr,N,Unknown,N,ATP Oil & Gas Corporation,industry,ATP Oil & Gas Corporation,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity,  sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42393,42393,42393 - Shenzi TLP - Green Canyon 653,https://ntl.gcoos.org/station_details.php?station=42393,27.301,-90.135,fixed,>5 yr,N,Unknown,N,BHP Billiton,industry,BHP Billiton,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42394,42394,42394 - Olympus TLP - Mississippi Canyon 807,https://ntl.gcoos.org/station_details.php?station=42394,28.157,-89.24,offshore_platform,>5 yr,N,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (data@gcoos.org),"sea_water_temperature, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, air_temperature, dew_point_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42395,42395,42395 - Shell Alcyone Buoy - Walker Ridge 552,https://ntl.gcoos.org/station_details.php?station=42395,26.404,-90.792,fixed,>5 yr,Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (data@gcoos.org),"air_pressure, air_temperature, dew_point_temperature, wind_speed, wind_to_direction, wind_speed_of_gust, sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_surface_wave_mean_ height, sea_surface_wave_ signifcant _to_direction, sea_surface_wave_significant_period",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42396,42396,42396 - Jack and St Malo FPU - Walker Ridge Block 758,https://ntl.gcoos.org/station_details.php?station=42396,26.235,-91.261,fixed,>5 yr,N,Unknown,N,Chevron,industry,Chevron,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42397,42397,42397 - Delta House FPU - Mississippi Canyon 254,https://ntl.gcoos.org/station_details.php?station=42397,28.755,-88.267,fixed,>5 yr,N,Unknown,N,LLOG,industry,LLOG,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
GCOOS,ioos:station:wmo:42398,42398,42398 - Lucius SPAR - Keathley Canyon 875,https://ntl.gcoos.org/station_details.php?station=42398,26.132,-92.04,fixed,>5 yr,N,Unknown,N,Anadarko Petroleum Corporation,industry,Anadarko Petroleum Corporation,GCOOS (data@gcoos.org),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, sea_water_temperature, sea_water_practical_salinity",,GCOOS.xlsx,,,
